field,person_id,college_id,graduation_year,degree,degree_id
Chemical Engineering 化工,88610823,NA,NA,NA,88628260
Chemical Engineering 化工,88602234,NA,NA,NA,88620246
Agricultural Chemistry,88600044,NA,NA,NA,88618201
Chemistry,88602484,NA,NA,NA,88620483
Hydraulic Engineering,88611187,NA,NA,NA,88628622
Textile Engineering 紡織,88603028,NA,NA,NA,88621001
Mechanical Engineering 機械,88611164,NA,NA,NA,88628601
Civil Engineering 土木,88602547,NA,NA,NA,88620544
Electrochemistry,88604321,NA,NA,NA,88622219
Chemistry,88600149,NA,NA,NA,88618299
Mechanical Engineering 機械,88604672,NA,NA,NA,88622535
Mechanical Engineering 機械,88603629,NA,NA,NA,88621571
Chemical Engineering 化工,88603026,NA,NA,NA,88621000
Physics 物理,88603640,NA,NA,NA,88621581
Architecture 建築,88602716,NA,NA,NA,88620708
Chemistry,88602548,NA,NA,NA,88620546
Civil Engineering 土木,88603638,NA,NA,NA,88621579
Mechanical Engineering 機械,88605130,NA,NA,NA,88622964
Chemistry,88603637,NA,NA,NA,88621578
Chemistry,88600606,NA,NA,NA,88618722
Civil Engineering 土木,88611180,NA,NA,NA,88628615
Chemical Engineering 化工,88603641,NA,NA,NA,88621582
Chemical Engineering 化工,88611181,NA,NA,NA,88628616
Mechanical Engineering 機械,88611188,NA,NA,NA,88628623
Civil Engineering 土木,88600602,NA,NA,NA,88618718
Chemical Engineering 化工,88603632,NA,NA,NA,88621574
Civil Engineering 土木,88604673,NA,NA,NA,88622536
Chemical Engineering 化工,88611166,NA,NA,NA,88628604
Chemistry,88603633,NA,NA,NA,88621575
Chemical Engineering 化工,88603620,NA,NA,NA,88621561
Electrical Engineering 電機,88611167,NA,NA,NA,88628605
Civil Engineering 土木,88603627,NA,NA,NA,88621569
Electrical Engineering 電機,88611172,NA,NA,NA,88628609
Chemical Engineering 化工,88603628,NA,NA,NA,88621570
Civil Engineering 土木,88603645,NA,NA,NA,88621587
Chemistry,88600605,NA,NA,NA,88618721
Aviation,88601452,NA,NA,NA,88619515
Chemistry,88601450,NA,NA,NA,88619513
Civil Engineering 土木,88611183,NA,NA,NA,88628618
Civil Engineering 土木,88603634,NA,NA,NA,88621576
Mechanical Engineering 機械,88602877,NA,NA,NA,88620860
Chemistry,88601625,NA,NA,NA,88619678
Military Engineering,88604681,NA,NA,NA,88622544
Civil Engineering 土木,88607847,NA,NA,NA,88625511
Civil Engineering 土木,88611289,NA,NA,NA,88628719
Chemistry,88600181,NA,NA,NA,88618330
