person_id,societies,societies_number,societies_date,societies_status
41677,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
32558,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
46881,Chinese Institute of Engineers 中華工程師學會,1712,by 1953,Full
47348,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
47365,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
18326,Chinese Institute of Engineers 中華工程師學會,1232,by 1953,NA
36044,Chinese Institute of Engineers 中華工程師學會,437,by 1953,Full
44480,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
3810,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
44075,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
28021,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
28085,Chinese Institute of Engineers 中華工程師學會,1090,by 1953,Full
36754,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
50151,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
50608,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
50617,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
49433,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
50644,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
50590,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
