employer_id,employer_name,location_id,parent_id,parent_name
4113,漢口市公共汽車管理處,2380,NA,NA
4115,漢口市天祥洋行,2380,NA,NA
4117,大冶利華煤礦公司,382,NA,NA
4140,宜興中學,1630,NA,NA
4142,寧波效實中學,1736,NA,NA
4146,武進縣政府,965,NA,NA
4159,浙江省道,62,NA,NA
4166,英國煤礦,125,NA,NA
4168,德國五金礦廠,121,NA,NA
4170,山東礦務,77,NA,NA
4172,淄博章礦政局,4173,NA,NA
4175,山東財政廳礦務,77,NA,NA
4177,嶧沂礦政局,77,NA,NA
4179,山東礦業專門學校,77,NA,NA
4181,山東化分礦質局,77,NA,NA
4184,山東即墨永明重晶石礦,77,NA,NA
4203,永利製鹼公司,NA,NA,NA
4216,興寳煤礦公司,NA,NA,NA
4218,河北礦業監理委員會,63,NA,NA
4230,大同保晉礦務分公司,NA,NA,NA
4237,桂林廣西紡織機械廠,4238,NA,NA
4244,Mc Clintic Marshall Steel Construction Co,1387,NA,NA
4260,G. E. Mfg. Co.,1387,NA,NA
4275,熱河北票煤礦公司,4276,NA,NA
4294,G. E. 電廠,1387,NA,NA
4296,六合永利化學工業公司,4297,NA,NA
4311,湘黔公路,NA,NA,NA
4323,Central Broadcast Administration 中央廣播事業管理處,90,NA,NA
4336,法國羅瓦機械廠,159,NA,NA
4340,巴黎無線電總公司,1948,NA,NA
4343,開灤礦務局林西礦,4345,NA,NA
4357,Thomas 鋼鐵公司,1387,NA,NA
4359,南京秣陵關勘礦事務所,90,NA,NA
4363,國民政府救濟水災委員會,NA,NA,NA
4365,經濟委員會工程處,NA,NA,NA
4380,參謀本部電雷學校,NA,NA,NA
4384,江蘇電政管理局,71,NA,NA
4389,中央警官學校,NA,NA,NA
4396,南京江寧學務公所,90,NA,NA
4403,江蘇興化縣局,4407,NA,NA
4409,雲南全省公路總局,81,NA,NA
4411,寳應縣建設局,4412,NA,NA
4417,沐陽縣建設局,71,NA,NA
4421,江蘇揚州中學,4423,NA,NA
4440,上海中國建築公司,877,NA,NA
4457,重慶煉鋼廠,1270,NA,NA
4484,廣州中央軍校,350,NA,NA
4486,建委會無線電管理處上海台,877,NA,NA
4489,陝西機器局,78,NA,NA
4491,徐州電台,4492,NA,NA
