college_id,college_name,location_id
73729,江蘇省第二工業學校,71
73739,浙江高等鐵路學校,NA
73802,上海英華書院,877
73837,四川法文學堂,1434
73841,湖北測繪學校,68
73861,上海三省鐵路學堂,877
73873,全贛鐵路學校,70
73877,東西學堂,NA
74084,香港皇家機器船廠青年會,1072
74091,巴黎公立機器專校,1948
74095,香港黃浦船澳學堂,1072
74099,通州師範學堂,34574
74108,北洋機器局,NA
74115,美國張蘇委寅省師範學校,135
74131,University of Nottingham,74132
74139,法國巴黎電機大學,1948
74158,北法工程學校,159
74201,美國省實業大學,1387
74206,江西萍鄉鑛務學堂,388
74215,特而姆大學,NA
74225,法國那合舍兒海軍工廠學校,159
74228,美國陸軍大學,1387
74232,德國礮兵工科大學,121
74239,比國海南大學,2753
74280,比國黎業斯商業大學,2753
74287,高等工業學校,NA
74302,武昌文華大學,1036
74319,上海漢壁禮學堂,877
74365,"Preparatory Department, Government Institute of Technology (G. I. T.) 交通部上海工業專門學校",877
74370,江蘇第三省立中學,71
74372,St. Dominic's College 揚光學校,419
74374,Foochow Technical College 福建公立工業專門學校,419
74377,"Preparatory Department, Tangshan College",445
74380,"Preparatory Department, Nanyang College (Shanghai Jiaotong University)",NA
74383,The Government Preparatory School of Honan,66
74393,La Academio Utopia 大同大學,877
74401,"Preparatory Department, Nankai University",427
74407,Shanghai High School,877
74409,Hua Yang Middle School,NA
74417,天津南開中學,427
74426,"Preparatory Department, St. John's University 聖約翰大學",877
74432,Pootung Middle School 浦東中學,1322
74522,College of Agriculture,74523
74570,Ochu College,71922
74584,Ningpo Baptist Middle School,1736
74740,Yale College,590
74745,The Preparatory Department of Imperial Polytechnic College,877
74780,Tangshan Engineering and Mining College,445
74804,Amoy Anglo-Chinese College,886
74836,Yunnan Provincial Electrical College,81
74842,Universite Aurore,877
74844,Ecole Poly-Technique,1948
74865,"Williston Seminary, Easthampton",144
75083,Yu Teh School,12923
75142,Government Middle School,1036
75188,Victoria University,18263
75217,Nanking Naval Academy,90
75306,Chefoo Naval Academy,6947
75308,Peking Aviation School,410
75310,Vickers and Rolls-Royce Factories,27510
75312,Army Service School at Arcadia,20109
75314,"Kelly Field, Texas and Post Field",178
75350,Conservancy Engineering College,90
75431,Soochow Anglo-Chinese School,1315
75664,Shanghai Arsenal School,877
75905,Episcopal High School of Virginia,268
75964,Anhwei High School,60
75987,Hsin-Yuan Middle School,522
76733,Brooklyn Collegiate and Polytechnic Institute,8693
77043,Bliss Electrical School,185
77068,法國梭米耳高等工業専門學校,159
77109,美國杜克大學,77111
77128,University of Kentucky,74782
77156,比國列日省大學,2753
77177,上海兵工廠兵工專門學校,877
77239,比國黎受日大學,2753
